"vek","vzdelani","oddeleni","typ_uvazku","prace_na_dalku","roky_praxe","plat","spokojenost_prace","work_life_balance","uroven_stresu","hodnoceni_skoleni","vykon_skore","nemocenske_dny","prectasy_hodiny"
48,"PhD","Prodej","Částečný úvazek","Ano",21.6,120000,4,3,3,2,80.7,9,19.4
43,"Magistr","Finance","Plný úvazek","Ano",15.7,97600,4,2,5,4,86.2,13,35.9
37,"Magistr","Prodej","Plný úvazek","Ano",10,90000,4,3,3,5,98,7,24.6
36,"Bakalář","IT","Částečný úvazek","Ano",12.5,70100,4,2,3,3,88.2,16,27
50,"Střední škola","Prodej","Částečný úvazek","Ne",19.5,60600,3,2,3,4,98,7,29.9
51,"Bakalář","Finance","Plný úvazek","Ano",16.4,94600,4,4,4,5,98,14,32.3
43,"Magistr","HR","Plný úvazek","Ne",13.5,80300,4,4,3,3,98,10,24.2
37,"Magistr","IT","Částečný úvazek","Ne",8.4,78600,4,3,2,5,98,9,25
26,"Magistr","IT","Kontrakt","Ne",7,82400,3,2,3,4,63.3,6,8.6
27,"Střední škola","Provoz","Plný úvazek","Ano",6.1,75100,4,3,4,5,98,10,26.7
22,"Bakalář","Finance","Plný úvazek","Ano",9.7,87400,4,4,3,3,82.7,6,26.4
43,"Bakalář","Provoz","Plný úvazek","Ne",13.2,94300,3,4,4,4,98,10,38.3
46,"Magistr","Prodej","Plný úvazek","Ne",20.1,107500,4,2,3,5,98,8,27.1
41,"Střední škola","Finance","Plný úvazek","Ano",16.1,78000,4,3,3,4,93.5,9,16.1
22,"Magistr","Finance","Kontrakt","Ano",10.2,105600,5,5,2,3,91.5,7,21.9
37,"Bakalář","HR","Částečný úvazek","Ano",11.2,75700,4,4,2,3,96.3,0,36
29,"Střední škola","Finance","Plný úvazek","Ne",8,78000,4,3,3,3,98,12,42
43,"Magistr","Finance","Částečný úvazek","Ne",18.6,100600,5,1,5,4,98,16,15.9
22,"Bakalář","HR","Plný úvazek","Ano",8.3,68400,4,4,3,3,84.5,6,26.4
22,"PhD","Prodej","Částečný úvazek","Ano",6.6,108200,5,3,2,3,93.7,6,16.6
49,"Magistr","Provoz","Plný úvazek","Ne",15.6,92300,4,3,4,4,98,7,40.7
41,"Střední škola","IT","Plný úvazek","Ne",12.7,56300,3,2,1,5,85.3,6,22.6
48,"Magistr","IT","Plný úvazek","Ne",25,113300,5,1,3,4,98,6,33.1
36,"PhD","IT","Plný úvazek","Ano",11.5,109400,4,4,3,3,98,6,22
42,"Střední škola","Provoz","Plný úvazek","Ano",9.9,73200,5,4,4,4,98,3,20.7
23,"Střední škola","Finance","Plný úvazek","Ano",9.5,71400,4,3,4,4,96.9,8,30.1
37,"Bakalář","Prodej","Částečný úvazek","Ano",11,69100,5,3,4,4,98,7,25.2
45,"Magistr","Finance","Plný úvazek","Ne",16.3,90400,4,2,4,5,94.5,11,32.5
22,"Bakalář","HR","Plný úvazek","Ano",5.2,75900,1,3,4,3,71.3,5,18.2
37,"Bakalář","HR","Plný úvazek","Ano",15.2,90100,5,3,3,1,81.3,5,25.7
24,"Střední škola","Finance","Plný úvazek","Ano",10.3,68200,5,4,3,5,98,7,35
35,"Střední škola","HR","Plný úvazek","Ne",10.5,58100,2,2,3,3,78.8,7,31.1
33,"Bakalář","Provoz","Plný úvazek","Ano",10.6,86600,3,3,4,4,93.4,11,36.5
50,"Magistr","IT","Plný úvazek","Ne",19.4,90800,4,2,4,5,94,13,25.5
33,"Střední škola","Provoz","Plný úvazek","Ano",11.6,89600,4,2,4,4,98,9,29.3
42,"Bakalář","Prodej","Plný úvazek","Ne",17.8,78600,5,2,4,4,98,8,16.6
41,"Střední škola","IT","Plný úvazek","Ano",13.8,54100,4,4,2,3,88.6,7,18.2
33,"Bakalář","Finance","Plný úvazek","Ne",11.9,74900,3,1,5,4,98,9,21
32,"Střední škola","HR","Plný úvazek","Ano",13.6,70900,5,2,5,5,98,10,22.6
42,"Magistr","IT","Plný úvazek","Ano",11,83100,4,2,3,4,98,0,18.4
29,"Střední škola","Provoz","Plný úvazek","Ano",11.1,68100,4,4,3,3,98,11,29.9
38,"Magistr","Finance","Částečný úvazek","Ano",11.8,104400,5,4,2,5,98,9,41.4
43,"Magistr","Prodej","Plný úvazek","Ano",19.1,97000,3,4,1,2,74.2,7,20.8
58,"Magistr","Prodej","Plný úvazek","Ne",23.8,99200,4,1,4,5,98,10,27.5
26,"Bakalář","Prodej","Plný úvazek","Ano",6.8,73600,4,3,4,1,71.6,13,16.7
39,"Magistr","Finance","Plný úvazek","Ano",16,104300,5,4,4,3,94.5,7,36.9
41,"Bakalář","IT","Plný úvazek","Ne",15.1,76900,5,3,2,5,98,0,23
45,"Bakalář","IT","Částečný úvazek","Ne",16.7,81400,4,3,3,4,94.1,6,17.7
44,"Střední škola","Prodej","Plný úvazek","Ne",14.7,62300,3,3,2,3,85.1,8,12.2
57,"Magistr","IT","Částečný úvazek","Ne",22.2,88600,3,3,2,4,89.1,8,30.3
32,"Magistr","HR","Kontrakt","Ano",8.3,88600,5,2,4,5,98,12,30.4
30,"Magistr","IT","Kontrakt","Ne",9.9,69700,4,2,3,3,90.3,12,19.2
32,"Bakalář","Provoz","Plný úvazek","Ano",10.8,95200,4,4,3,3,98,9,40.9
28,"PhD","IT","Částečný úvazek","Ne",10.8,106400,3,3,4,4,94.2,6,25.5
31,"Bakalář","Finance","Částečný úvazek","Ano",6.3,92300,4,2,3,2,89.1,5,42.3
24,"Magistr","Finance","Plný úvazek","Ano",6.6,90100,4,3,4,2,81.8,7,24
47,"Bakalář","IT","Částečný úvazek","Ano",20,84900,5,3,3,4,98,7,23.4
36,"Střední škola","Prodej","Částečný úvazek","Ne",13.9,51000,3,3,3,4,98,8,22.8
48,"Magistr","Provoz","Plný úvazek","Ano",27.8,120000,4,4,3,4,98,11,29.3
38,"Střední škola","IT","Částečný úvazek","Ne",15.7,75000,5,2,3,4,98,5,8.3
54,"Střední škola","IT","Plný úvazek","Ne",21.3,63600,2,2,3,3,75.6,10,10.1
47,"Magistr","Prodej","Částečný úvazek","Ne",20.4,107100,5,2,3,5,98,4,26.4
43,"Magistr","Finance","Plný úvazek","Ano",16.6,104700,5,4,4,4,98,10,30.5
40,"Magistr","Finance","Plný úvazek","Ne",13.3,93800,3,2,4,4,70.8,7,26.8
54,"PhD","Finance","Plný úvazek","Ano",18.5,114300,5,4,4,5,98,13,45.5
37,"Bakalář","Finance","Částečný úvazek","Ne",12.5,78200,4,2,3,2,86.8,11,12.7
22,"Magistr","Finance","Částečný úvazek","Ano",5.2,104200,5,3,3,4,98,3,34.2
45,"Bakalář","Finance","Plný úvazek","Ano",20,83700,3,3,3,4,97.7,7,24.1
43,"Střední škola","Provoz","Plný úvazek","Ano",19.5,77700,3,3,3,1,73.7,8,35.6
22,"Střední škola","Prodej","Kontrakt","Ne",8.3,59700,4,3,2,2,74,4,28.6
49,"Bakalář","HR","Kontrakt","Ne",17.1,93700,4,3,4,5,91,13,14
26,"Magistr","Finance","Částečný úvazek","Ne",6.8,95100,4,1,4,3,73.1,4,37.6
41,"Bakalář","Finance","Plný úvazek","Ano",20.6,94700,4,2,4,1,79.7,9,29.6
39,"Bakalář","IT","Plný úvazek","Ne",19.7,68100,4,2,2,3,92.5,9,17.9
40,"Magistr","Provoz","Plný úvazek","Ano",10.3,108100,5,4,4,4,98,10,43.4
35,"Magistr","Prodej","Částečný úvazek","Ne",9.6,101100,5,2,4,4,98,10,21.8
52,"Střední škola","Provoz","Plný úvazek","Ano",24.5,96400,4,3,3,4,98,8,30.9
45,"Bakalář","IT","Plný úvazek","Ano",17,58100,4,3,3,2,81.3,6,23.1
28,"PhD","Provoz","Plný úvazek","Ano",6.1,119600,5,3,3,2,98,2,33.8
38,"Střední škola","IT","Částečný úvazek","Ne",12.4,49100,3,3,3,4,98,8,17.1
26,"Bakalář","Finance","Plný úvazek","Ano",4.9,66300,4,2,3,3,98,7,24
48,"Bakalář","Finance","Částečný úvazek","Ano",18.9,93100,4,5,1,3,92.1,10,48.9
47,"Střední škola","IT","Plný úvazek","Ne",16.8,57000,5,1,3,4,98,13,24.3
22,"Magistr","Prodej","Plný úvazek","Ano",7.6,86600,4,4,3,4,98,3,19
39,"PhD","IT","Plný úvazek","Ne",16.3,110900,3,5,1,2,79,3,13
49,"Magistr","IT","Částečný úvazek","Ne",18,97800,4,1,4,5,87.1,12,23.5
36,"Bakalář","IT","Plný úvazek","Ne",11.6,62800,3,3,3,4,82.1,9,29.3
35,"Magistr","Finance","Kontrakt","Ano",12.9,106100,5,4,3,3,93.5,8,31.9
35,"Magistr","Provoz","Plný úvazek","Ne",13.6,90500,5,3,3,2,98,6,47.4
46,"Magistr","Finance","Plný úvazek","Ano",22.9,104500,5,3,2,3,98,8,42.6
26,"Střední škola","IT","Kontrakt","Ano",6.9,47800,2,3,2,1,69.4,4,14.3
33,"Bakalář","Prodej","Částečný úvazek","Ano",10.9,70900,4,3,4,3,86.2,6,23.5
31,"PhD","HR","Částečný úvazek","Ne",15.9,115600,3,2,4,2,81.6,6,17.7
45,"Střední škola","Provoz","Plný úvazek","Ano",19.1,66000,4,2,3,2,94.8,11,32.9
43,"Bakalář","Finance","Plný úvazek","Ano",17.2,75900,5,4,3,4,98,11,24
22,"PhD","Finance","Plný úvazek","Ano",8.6,119800,4,4,3,3,98,10,33.1
26,"Bakalář","Prodej","Plný úvazek","Ano",4.6,64100,2,4,2,2,64.5,2,30
26,"Střední škola","Prodej","Plný úvazek","Ne",6.2,46400,3,2,3,4,96,9,37.6
38,"Magistr","Provoz","Plný úvazek","Ano",13.9,103900,5,2,4,4,98,15,44.2
50,"Magistr","Provoz","Plný úvazek","Ano",17.3,112900,4,3,4,2,92.3,9,39.3
60,"Střední škola","Prodej","Částečný úvazek","Ano",27.9,74100,5,3,3,5,98,12,19.8
42,"Střední škola","IT","Kontrakt","Ne",18.4,61700,4,4,3,3,86.5,6,26.9
48,"Bakalář","HR","Plný úvazek","Ano",22.2,97000,5,4,3,5,98,8,27.5
39,"Magistr","Prodej","Plný úvazek","Ne",17.1,87000,4,3,3,2,83.1,12,25.6
25,"Magistr","IT","Plný úvazek","Ano",7.1,64700,4,3,3,3,85.6,8,15
42,"Střední škola","Finance","Plný úvazek","Ano",12.9,59200,3,4,3,4,98,9,34.1
36,"Střední škola","Provoz","Plný úvazek","Ano",16.2,79800,5,3,3,1,97.7,9,19.8
50,"Bakalář","Finance","Plný úvazek","Ano",16,85100,5,4,2,5,98,9,35.7
32,"PhD","HR","Plný úvazek","Ano",11.3,95200,3,4,2,2,81,3,20.2
27,"Střední škola","HR","Plný úvazek","Ano",3.6,47100,3,3,4,4,89.9,7,44.1
25,"Magistr","HR","Plný úvazek","Ne",6.4,92700,4,1,5,2,97.6,10,34.7
49,"Střední škola","HR","Plný úvazek","Ano",22.7,73500,3,3,2,5,98,3,25.5
31,"Magistr","HR","Plný úvazek","Ne",11.7,78600,4,2,5,5,98,9,26.5
38,"Magistr","Prodej","Plný úvazek","Ne",19.1,88200,3,2,3,3,88.5,15,41.3
32,"Střední škola","Provoz","Kontrakt","Ano",7.4,68300,4,4,2,1,89.9,6,34.9
